Name,Status,Province,Population
Ollachea,Urban Main Locality,Carabaya,"2,680"
Orcco Huayta,Locality,Lampa,287
Oriental,Locality,Sandia,386
Oroya,Locality,Carabaya,568
Orurillo,Main Locality,Melgar,"1,172"
Oruro,Locality,Carabaya,429
Oscoroque,Locality,Carabaya,428
Oyonaje,Locality,Carabaya,239
Pacaysuizo,Locality,Sandia,209
Pajana San Agustin,Locality,Yunguyo,303
Palca,Locality,Carabaya,558
Palca,Main Locality,Lampa,712
Palermo Rio Salado,Locality,Chucuito,277
Pallalla Pampa,Locality,Puno,207
Palmera,Locality,Sandia,340
Palmerani,Locality,Sandia,202
Pampa Amaru,Locality,Huancané,292
Pampa Cariguita,Locality,Azangaro,304
Pampa Grande,Locality,Sandia,391
Pampas de Moho,Locality,Sandia,318
Pampa Taparachi,Locality,San Román,659
Pampa Yanamayo,Locality,Sandia,680
Pampa Yanaoco,Locality,Huancané,267
Panchomacha,Locality,Huancané,230
Pantihueco B,Locality,El Collao,218
Parani,Locality,Puno,206
Paratía,Main Locality,Lampa,446
Parina,Locality,Puno,397
Patallani (San Jose de Collana),Locality,Puno,234
Patambuco,Main Locality,Sandia,457
Pata Muni,Locality,Huancané,244
Patani Carancas,Locality,Chucuito,270
Patani Lupaca,Locality,Chucuito,248
Patapampa,Locality,Puno,230
Paucarcolla,Main Locality,Puno,637
Pedro Vilcapaza Mororco,Locality,Azangaro,361
Perka Central,Locality,Puno,202
Phara,Main Locality,Sandia,"1,498"
Phoccoraccani,Locality,Sandia,306
Phoquera Grande,Locality,Sandia,212
Phusca,Locality,Carabaya,408
Pias Huayta,Locality,Lampa,354
Picchu,Locality,Melgar,248
Pichacane,Urban Locality,Puno,232
Pichincuta,Locality,El Collao,235
Pichupichuni,Locality,Chucuito,406
Picotani,Locality,San Antonio de Putina,418
Pilcuyo,Main Locality,El Collao,"1,200"
Pinaya,Urban Locality,Lampa,420
Pisacoma,Main Locality,Chucuito,"1,312"
Platería,Main Locality,Puno,529
Pomata,Urban Main Locality,Chucuito,"1,446"
Potojani Chico,Locality,Puno,275
Potojani Grande,Locality,Puno,463
Potoni,Urban Main Locality,Azangaro,671
Potoni,Locality,San Antonio de Putina,302
Primer Chacamarca,Locality,Azangaro,467
Primer Ocuata,Locality,Azangaro,216
Primer Tasapa (Tasapa A),Locality,Chucuito,220
Progreso,Urban Locality,Azangaro,770
Pucara,Locality,El Collao,257
Pucará,Urban Main Locality,Lampa,"1,857"
Pucara Vizcachani,Locality,San Román,204
Pumachanca,Locality,Carabaya,455
Pumamaña,Locality,Huancané,203
Puna Ayllu,Locality,Sandia,"1,051"
Puna Ayllu Santa Cruz,Locality,Sandia,426
Punko Keari,Locality,Sandia,375
Puno,Urban Main Locality,Puno,"128,195"
Punta Jallapisi,Locality,Azangaro,244
Puquilmuri,Locality,San Antonio de Putina,211
Puquis Primer Sector,Locality,Huancané,252
Pusi,Main Locality,Huancané,909
Putina,Urban Main Locality,San Antonio de Putina,"10,750"
Putina Punco,Main Locality,Sandia,"1,935"
Putucune Pata,Locality,Puno,202
